Task2_V3 target=background-normalized enhancement
Profile cache=/data/cd25/task2_V1/3D_UNet_pft/processed/richmond_average_profile_cache_m02_10_z001_010
Train samples=2242 val samples=278 depth=16
Feature channels: local=30, global=16
Global context enabled=True
Previous timestep CO2 is excluded completely. Target/reconstruction use current incoming background CO2.
Using device=cuda
Enhancement mean per z=[8.688699722290039, 8.134200096130371, 7.724999904632568, 7.071800231933594, 6.390399932861328, 5.827099800109863, 5.3709001541137695, 4.990799903869629, 4.65339994430542, 4.347899913787842, 4.063499927520752, 3.797800064086914, 3.55430006980896, 3.3252999782562256, 3.113800048828125, 2.918600082397461]
Enhancement std per z=[8.835000038146973, 8.336600303649902, 8.104700088500977, 7.736299991607666, 7.3643999099731445, 7.0279998779296875, 6.707499980926514, 6.4105000495910645, 6.115099906921387, 5.817999839782715, 5.52869987487793, 5.247799873352051, 4.9944000244140625, 4.770599842071533, 4.57859992980957, 4.4166998863220215]
Valid fraction per z=[0.6017000079154968, 0.8478999733924866, 0.9879999756813049, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
Layer weights=[1.9666999578475952, 1.565500020980835, 1.3272000551223755, 1.1837999820709229, 1.0751999616622925, 0.9905999898910522, 0.9247999787330627, 0.8734999895095825, 0.8335000276565552, 0.8023999929428101, 0.7781999707221985, 0.7592999935150146, 0.7445999979972839, 0.7332000136375427, 0.7242000102996826, 0.7172999978065491]
Initialized model weights from checkpoint: /data/cd25/task2_V3/3D_UNet_pft/processed/background_enhancement_v3/best_model.pt
Fresh optimizer/scheduler and epoch counter are used for this transfer run.
epoch=001 train_loss=0.196767 val_conc_R=0.927086 val_conc_MAE=2.483052 val_conc_RMSE=3.610552 val_enhancement_RMSE=3.610552 best=3.610552 lr=0.0001 improved=1 no_improve=0 elapsed=0.5s
epoch=002 train_loss=0.135144 val_conc_R=0.942246 val_conc_MAE=2.080320 val_conc_RMSE=3.215273 val_enhancement_RMSE=3.215273 best=3.215273 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=003 train_loss=0.111740 val_conc_R=0.950056 val_conc_MAE=1.865713 val_conc_RMSE=2.987530 val_enhancement_RMSE=2.987530 best=2.987530 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=004 train_loss=0.098979 val_conc_R=0.955314 val_conc_MAE=1.771790 val_conc_RMSE=2.834735 val_enhancement_RMSE=2.834735 best=2.834735 lr=0.0001 improved=1 no_improve=0 elapsed=0.2s
epoch=005 train_loss=0.091329 val_conc_R=0.958050 val_conc_MAE=1.712817 val_conc_RMSE=2.744422 val_enhancement_RMSE=2.744422 best=2.744422 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=006 train_loss=0.085146 val_conc_R=0.960826 val_conc_MAE=1.670549 val_conc_RMSE=2.653071 val_enhancement_RMSE=2.653071 best=2.653071 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=007 train_loss=0.079997 val_conc_R=0.962253 val_conc_MAE=1.650870 val_conc_RMSE=2.608981 val_enhancement_RMSE=2.608981 best=2.608981 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=008 train_loss=0.076554 val_conc_R=0.963894 val_conc_MAE=1.607369 val_conc_RMSE=2.549477 val_enhancement_RMSE=2.549477 best=2.549477 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=009 train_loss=0.072954 val_conc_R=0.965266 val_conc_MAE=1.587688 val_conc_RMSE=2.504940 val_enhancement_RMSE=2.504939 best=2.504940 lr=0.0001 improved=1 no_improve=0 elapsed=0.0s
epoch=010 train_loss=0.070350 val_conc_R=0.966580 val_conc_MAE=1.563711 val_conc_RMSE=2.456565 val_enhancement_RMSE=2.456565 best=2.456565 lr=0.0001 improved=1 no_improve=0 elapsed=0.0s
epoch=011 train_loss=0.068948 val_conc_R=0.967591 val_conc_MAE=1.538638 val_conc_RMSE=2.420873 val_enhancement_RMSE=2.420873 best=2.420873 lr=0.0001 improved=1 no_improve=0 elapsed=0.0s
epoch=012 train_loss=0.066255 val_conc_R=0.968088 val_conc_MAE=1.513691 val_conc_RMSE=2.398660 val_enhancement_RMSE=2.398660 best=2.398660 lr=0.0001 improved=1 no_improve=0 elapsed=0.0s
epoch=013 train_loss=0.064424 val_conc_R=0.968914 val_conc_MAE=1.509697 val_conc_RMSE=2.373620 val_enhancement_RMSE=2.373620 best=2.373620 lr=0.0001 improved=1 no_improve=0 elapsed=0.0s
epoch=014 train_loss=0.062377 val_conc_R=0.969656 val_conc_MAE=1.486916 val_conc_RMSE=2.343025 val_enhancement_RMSE=2.343024 best=2.343025 lr=0.0001 improved=1 no_improve=0 elapsed=0.0s
