case_no,dataset_index,sample_key,job,month,time_index,z0,local_z,y0,x0,valid_fraction_3d,variable,valid_count,R,MAE,RMSE
0,0,camden/z18_camden201901/t0033/z000_y0000_x0000,z18_camden201901,1,33,0,5,0,0,0.6953935623168945,u,50530,0.2927340459519387,1.4469124644245697,1.8380647295024448
0,0,camden/z18_camden201901/t0033/z000_y0000_x0000,z18_camden201901,1,33,0,5,0,0,0.6953935623168945,v,50530,-0.10072939391497855,1.2782985950894057,1.6508940609799225
0,0,camden/z18_camden201901/t0033/z000_y0000_x0000,z18_camden201901,1,33,0,5,0,0,0.6953935623168945,w,50530,0.14230670427917055,0.23231029921836946,0.3518109671878686
0,0,camden/z18_camden201901/t0033/z000_y0000_x0000,z18_camden201901,1,33,0,5,0,0,0.6953935623168945,theta,50530,0.06769093256204024,0.19534306891384914,0.23288931052948675
1,336,camden/z21_camden201904/t0033/z000_y0000_x0000,z21_camden201904,4,33,0,5,0,0,0.6953935623168945,u,50530,-0.08932753780082417,1.7520621886235428,2.006010820162445
1,336,camden/z21_camden201904/t0033/z000_y0000_x0000,z21_camden201904,4,33,0,5,0,0,0.6953935623168945,v,50530,0.023511693490945007,0.9267718458609748,1.1056400280292973
1,336,camden/z21_camden201904/t0033/z000_y0000_x0000,z21_camden201904,4,33,0,5,0,0,0.6953935623168945,w,50530,0.11864798210389878,0.19749373784929705,0.254757547262244
1,336,camden/z21_camden201904/t0033/z000_y0000_x0000,z21_camden201904,4,33,0,5,0,0,0.6953935623168945,theta,50530,0.2815477884584535,0.2732595782314884,0.3376398650435861
2,672,camden/z24_camden201907/t0033/z000_y0000_x0000,z24_camden201907,7,33,0,5,0,0,0.6953935623168945,u,50530,0.07455991119168819,1.0651699725340174,1.3161022618312508
2,672,camden/z24_camden201907/t0033/z000_y0000_x0000,z24_camden201907,7,33,0,5,0,0,0.6953935623168945,v,50530,0.017430125625652194,0.8510497184783993,1.0660410309016517
2,672,camden/z24_camden201907/t0033/z000_y0000_x0000,z24_camden201907,7,33,0,5,0,0,0.6953935623168945,w,50530,0.022941233975878345,0.2691391606638359,0.35312359971298324
2,672,camden/z24_camden201907/t0033/z000_y0000_x0000,z24_camden201907,7,33,0,5,0,0,0.6953935623168945,theta,50530,0.28956136163116014,0.5104096419264391,0.6646173226605105
3,1008,camden/z27_camden201910/t0033/z000_y0000_x0000,z27_camden201910,10,33,0,5,0,0,0.6953935623168945,u,50530,0.11867443803872445,0.8801881110387441,1.1009858820298195
3,1008,camden/z27_camden201910/t0033/z000_y0000_x0000,z27_camden201910,10,33,0,5,0,0,0.6953935623168945,v,50530,0.08400884328974366,0.5204295391496658,0.6426686734112311
3,1008,camden/z27_camden201910/t0033/z000_y0000_x0000,z27_camden201910,10,33,0,5,0,0,0.6953935623168945,w,50530,0.16488056202065174,0.1353477787720622,0.1833438536672433
3,1008,camden/z27_camden201910/t0033/z000_y0000_x0000,z27_camden201910,10,33,0,5,0,0,0.6953935623168945,theta,50530,0.3428801216086425,0.3791218672887703,0.405685086168189
