case_no,dataset_index,sample_key,job,month,time_index,z0,local_z,y0,x0,valid_fraction_3d,variable,valid_count,R,MAE,RMSE
0,21,camden/z18_camden201901/t0034/z000_y0256_x0256,z18_camden201901,1,34,0,5,256,256,0.5841083526611328,u,14896,0.22317719493445076,1.649886384582353,1.9911242324944904
0,21,camden/z18_camden201901/t0034/z000_y0256_x0256,z18_camden201901,1,34,0,5,256,256,0.5841083526611328,v,14896,-0.012812537138570846,1.3367871458529146,1.660299650327221
0,21,camden/z18_camden201901/t0034/z000_y0256_x0256,z18_camden201901,1,34,0,5,256,256,0.5841083526611328,w,14896,0.1223587628377988,0.32684269480667455,0.43107430850789763
0,21,camden/z18_camden201901/t0034/z000_y0256_x0256,z18_camden201901,1,34,0,5,256,256,0.5841083526611328,theta,14896,0.054556862190528514,0.16860340540442378,0.1972378061570227
1,281,camden/z20_camden201903/t0036/z000_y0512_x0256,z20_camden201903,3,36,0,15,512,256,0.33730220794677734,u,64903,0.32469439055332466,3.061738581761589,3.6324622674965563
1,281,camden/z20_camden201903/t0036/z000_y0512_x0256,z20_camden201903,3,36,0,15,512,256,0.33730220794677734,v,64903,0.2892574451994377,3.6047065515958123,4.152086358871872
1,281,camden/z20_camden201903/t0036/z000_y0512_x0256,z20_camden201903,3,36,0,15,512,256,0.33730220794677734,w,64903,0.2500383004034701,0.8913651458755063,1.1517068239822559
1,281,camden/z20_camden201903/t0036/z000_y0512_x0256,z20_camden201903,3,36,0,15,512,256,0.33730220794677734,theta,64903,0.0021247441336696986,0.3001291072749009,0.3471355319966256
2,534,camden/z22_camden201905/t0038/z000_y0256_x0512,z22_camden201905,5,38,0,5,256,512,0.6474933624267578,u,30972,0.1438056480320564,1.5893725835274746,1.9477422154674033
2,534,camden/z22_camden201905/t0038/z000_y0256_x0512,z22_camden201905,5,38,0,5,256,512,0.6474933624267578,v,30972,0.04610310982349259,0.956389566266412,1.207941693667704
2,534,camden/z22_camden201905/t0038/z000_y0256_x0512,z22_camden201905,5,38,0,5,256,512,0.6474933624267578,w,30972,0.08063797446587168,0.28814968196086715,0.38911353325004067
2,534,camden/z22_camden201905/t0038/z000_y0256_x0512,z22_camden201905,5,38,0,5,256,512,0.6474933624267578,theta,30972,0.07256860516004857,0.3171880377920102,0.39494911524853105
3,778,camden/z24_camden201907/t0039/z000_y0512_x0512,z24_camden201907,7,39,0,5,512,512,0.5855731964111328,u,16421,-0.04614564704036508,1.2464694539708332,1.516286830314572
3,778,camden/z24_camden201907/t0039/z000_y0512_x0512,z24_camden201907,7,39,0,5,512,512,0.5855731964111328,v,16421,-0.011178973246993512,1.615522657973374,1.8268513423358264
3,778,camden/z24_camden201907/t0039/z000_y0512_x0512,z24_camden201907,7,39,0,5,512,512,0.5855731964111328,w,16421,-0.02548354079490438,0.1716547332789197,0.23107352562778344
3,778,camden/z24_camden201907/t0039/z000_y0512_x0512,z24_camden201907,7,39,0,5,512,512,0.5855731964111328,theta,16421,0.08664917371864457,1.557203679055449,1.5738349965308873
4,973,camden/z26_camden201909/t0037/z000_y0544_x0256,z26_camden201909,9,37,0,15,544,256,0.30510807037353516,u,64734,-0.24057789248360242,2.2483882013233356,2.4407682266971875
4,973,camden/z26_camden201909/t0037/z000_y0544_x0256,z26_camden201909,9,37,0,15,544,256,0.30510807037353516,v,64734,0.3747123364035747,1.0196372418182347,1.2629780861648572
4,973,camden/z26_camden201909/t0037/z000_y0544_x0256,z26_camden201909,9,37,0,15,544,256,0.30510807037353516,w,64734,0.330690257019209,0.19212301039420024,0.26264547681613787
4,973,camden/z26_camden201909/t0037/z000_y0544_x0256,z26_camden201909,9,37,0,15,544,256,0.30510807037353516,theta,64734,-0.10514512682823612,0.22150200725275743,0.26242375975396653
5,1047,camden/z27_camden201910/t0035/z000_y0256_x0544,z27_camden201910,10,35,0,5,256,544,0.6446313858032227,u,29135,0.1839984637641477,1.125103371135567,1.3203160415718367
5,1047,camden/z27_camden201910/t0035/z000_y0256_x0544,z27_camden201910,10,35,0,5,256,544,0.6446313858032227,v,29135,-0.16132204131529734,0.5548447390332606,0.6897626213644656
5,1047,camden/z27_camden201910/t0035/z000_y0256_x0544,z27_camden201910,10,35,0,5,256,544,0.6446313858032227,w,29135,0.1345257150384907,0.16137741480929058,0.21598298204911068
5,1047,camden/z27_camden201910/t0035/z000_y0256_x0544,z27_camden201910,10,35,0,5,256,544,0.6446313858032227,theta,29135,0.09320100949814586,0.22345106453189356,0.2589005482629427
