dataset_index,sample_key,job,month,time_index,z0,local_z,global_z,height_m,y0,x0,valid_fraction_3d,valid_fraction_slice,score,u_R,u_MAE,u_RMSE,v_R,v_MAE,v_RMSE,w_R,w_MAE,w_RMSE,theta_prime_R,theta_prime_MAE,theta_prime_RMSE,theta_R,theta_MAE,theta_RMSE
924,camden/z26_camden201909/t0034/z000_y0544_x0000,z26_camden201909,9,34,0,3,3,30.0,544,0,0.37184810638427734,0.0,-999.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
924,camden/z26_camden201909/t0034/z000_y0544_x0000,z26_camden201909,9,34,0,5,5,50.0,544,0,0.37184810638427734,0.0,-999.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
924,camden/z26_camden201909/t0034/z000_y0544_x0000,z26_camden201909,9,34,0,7,7,70.0,544,0,0.37184810638427734,0.1123199462890625,0.01117163388579547,0.006207566835431868,1.0500068749896925,1.1694434468531856,0.001193746285027455,1.0937229385519787,1.3145958981084946,0.12993420164300126,0.10370495548219905,0.15196329085900856,0.008337856845938572,0.4591457714222806,0.4733288590625454,0.006404668857441063,0.35881431568188765,0.3846252993962382
924,camden/z26_camden201909/t0034/z000_y0544_x0000,z26_camden201909,9,34,0,10,10,100.0,544,0,0.37184810638427734,0.6246337890625,0.13197070434790947,0.22604951818684413,1.1400823914517828,1.2574099245341668,0.05832611259037389,0.8999897460465043,1.1524802911700767,0.1318271306014283,0.1374902420860547,0.1934863356975613,0.10339150818324701,0.4333944797737188,0.4480107279746379,0.09170110319218357,0.3157724213129565,0.34054786516848273
924,camden/z26_camden201909/t0034/z000_y0544_x0000,z26_camden201909,9,34,0,12,12,120.0,544,0,0.37184810638427734,0.8283538818359375,0.18331933595432828,0.14737226453349186,1.5795155021387037,1.6910031677528092,0.22983835782544582,0.7735710740847005,0.9963803570328065,0.13757126114691587,0.15867041067532003,0.22801055183236635,0.17766822028541718,0.40976740990389154,0.42834220405029033,0.12055630270391578,0.28773196743533647,0.3177506948769929
924,camden/z26_camden201909/t0034/z000_y0544_x0000,z26_camden201909,9,34,0,15,15,150.0,544,0,0.37184810638427734,0.9937744140625,0.055766371206331204,-0.021456092184531293,2.027629975465164,2.1332653984638386,0.1271660727781075,0.8353048129055954,1.0015561703382732,0.14403984014169136,0.18323677326190496,0.27233040074301684,0.04626354396597991,0.2519915882914896,0.2768784515023202,0.01800330325014765,0.3565271548828905,0.37944716020625874
560,camden/z23_camden201906/t0033/z000_y0000_x0000,z23_camden201906,6,33,0,3,3,30.0,0,0,0.6953935623168945,0.0862579345703125,0.054005037533341724,0.09325650782177794,1.578602563632646,1.9672441600227337,0.030366660599585683,1.885149594389104,2.1999828194503133,0.3468996597182095,0.2848145231666686,0.4421665923611074,-0.026432217600184067,0.4165575815558792,0.5467105299925409,-0.025736148251939744,0.42670822750883103,0.5622688099561094
560,camden/z23_camden201906/t0033/z000_y0000_x0000,z23_camden201906,6,33,0,5,5,50.0,0,0,0.6953935623168945,0.771026611328125,0.33142129073538595,0.32650712875316723,1.6920652175147817,2.1272683156050736,0.28820249667356285,1.6326538988158132,1.9965472994896194,0.28288216931520643,0.32128530628010193,0.46953226576880963,0.40851525348108064,0.3648847150585568,0.48979521518417335,0.4014801961248384,0.3698228351012471,0.49420524128949367
560,camden/z23_camden201906/t0033/z000_y0000_x0000,z23_camden201906,6,33,0,7,7,70.0,0,0,0.6953935623168945,0.98486328125,0.1495919062800278,0.14183713565312295,1.9971199169622003,2.4740818068281536,0.11847639584202191,1.7474288570726486,2.113450166639841,0.2925545881447041,0.42602828237355705,0.5945704780386613,0.1754177633979676,0.32102141863618916,0.40751522831517834,0.173643734442639,0.3313771660634061,0.41544545373672837
560,camden/z23_camden201906/t0033/z000_y0000_x0000,z23_camden201906,6,33,0,10,10,100.0,0,0,0.6953935623168945,0.9993133544921875,0.05556476711877474,0.041725231971674874,1.7935671428107933,2.249160846673562,0.02089944056736395,1.5498934448274106,1.9226415731769835,0.2767629795299393,0.5318044088325322,0.7577983161067724,0.07923193101445677,0.2818045591012398,0.35737872671392684,0.07435172524691915,0.2946872632256066,0.36618922272850596
560,camden/z23_camden201906/t0033/z000_y0000_x0000,z23_camden201906,6,33,0,12,12,120.0,0,0,0.6953935623168945,0.9998321533203125,0.052925809836055764,-0.012532508061158625,1.7394143862471423,2.186361000579518,0.035198317033748795,1.4531103092384265,1.818609189171752,0.2769796124087825,0.5632795448707454,0.7948658531227576,0.1245751843008403,0.2916840204888744,0.3487811292577616,0.13236653811589036,0.31462965469331244,0.368867903702059
560,camden/z23_camden201906/t0033/z000_y0000_x0000,z23_camden201906,6,33,0,15,15,150.0,0,0,0.6953935623168945,1.0,0.033203619942743644,-0.0007239678496112241,1.606209078883694,2.042522272466143,-0.011396311390344971,1.415355382103371,1.7476250827784838,0.2577646083248006,0.6155548015663008,0.8367345006273692,0.09822994904195313,0.2954348136026965,0.34293929084908087,0.10093577575468655,0.3190552890300751,0.3644151115778261
642,camden/z23_camden201906/t0038/z000_y0000_x0512,z23_camden201906,6,38,0,3,3,30.0,0,512,0.6771478652954102,0.174072265625,0.5133464311370567,0.5516434692468362,1.458338900878085,1.792544449390935,0.5229211680004485,1.544608794309481,1.9235767067427285,0.4886064251770154,0.3453645568607686,0.5205376640211242,0.4512739473666252,0.5967812566256456,0.6528395448110805,0.4383563760272118,0.5463146594931668,0.6068231006302963
