dataset_index,sample_key,job,month,time_index,z0,local_z,global_z,height_m,y0,x0,valid_fraction_3d,valid_fraction_slice,score,u_R,u_MAE,u_RMSE,v_R,v_MAE,v_RMSE,w_R,w_MAE,w_RMSE,theta_prime_R,theta_prime_MAE,theta_prime_RMSE,theta_R,theta_MAE,theta_RMSE
650,camden/z23_camden201906/t0038/z000_y0512_x0512,z23_camden201906,6,38,0,3,3,30.0,512,512,0.5855731964111328,0.0,-999.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
650,camden/z23_camden201906/t0038/z000_y0512_x0512,z23_camden201906,6,38,0,5,5,50.0,512,512,0.5855731964111328,0.2505645751953125,0.2872732351054634,0.36544555261630496,1.049048351425541,1.3328422923453254,0.3563797184837248,1.2629470997682537,1.5583416585478564,0.2421829942676986,0.2710529851221315,0.3732476176064994,0.09010096202827192,0.9303137277120882,0.9478717600955022,0.07892072239073519,0.9336707975460633,0.954271649143891
650,camden/z23_camden201906/t0038/z000_y0512_x0512,z23_camden201906,6,38,0,7,7,70.0,512,512,0.5855731964111328,0.790313720703125,0.2908972817091297,0.36184518219488654,1.4936370518201383,1.8487959526969087,0.32829406591327015,1.2218421395738166,1.513645384422154,0.20501712055225524,0.42255811430288015,0.555257060622577,0.15639075537464833,0.7730642360172875,0.7901146162735532,0.13680464347943083,0.842791291762122,0.8617360401641385
650,camden/z23_camden201906/t0038/z000_y0512_x0512,z23_camden201906,6,38,0,10,10,100.0,512,512,0.5855731964111328,0.9607391357421875,0.21423436008328303,0.3310320440427901,1.5684205474259467,1.9156781985357039,0.1795333406112418,1.3264566584800315,1.6358399111949855,0.13044063092494865,0.6473099805401054,0.8183083986185394,0.11605777563249793,0.7351257793577283,0.7526370393601537,0.10173225810732354,0.6297886206249727,0.6557245214993035
650,camden/z23_camden201906/t0038/z000_y0512_x0512,z23_camden201906,6,38,0,12,12,120.0,512,512,0.5855731964111328,0.99560546875,0.18243388824567497,0.30646591266137685,1.6061864069746574,1.952519233343293,0.15540275990984062,1.270523119977273,1.571457524273416,0.08600734654860684,0.7229528243313743,0.9131178153875357,0.06591794207327406,0.7388991716839903,0.7524090896830695,0.06064956335773345,0.6769430675946245,0.6967490629398707
650,camden/z23_camden201906/t0038/z000_y0512_x0512,z23_camden201906,6,38,0,15,15,150.0,512,512,0.5855731964111328,1.0,0.04218741402517652,0.10677207482586917,1.7320967420455418,2.040615947389887,0.025873000287014527,1.1714872993252357,1.442738285293145,0.07872834313266952,0.7528813205022153,0.9499373522911847,-0.03269911768386499,0.6815788480007541,0.6923055371136065,-0.03408693512076739,0.6802531909197569,0.6968379639027262
735,camden/z24_camden201907/t0036/z000_y0544_x0544,z24_camden201907,7,36,0,3,3,30.0,544,544,0.5949583053588867,0.0,-999.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
735,camden/z24_camden201907/t0036/z000_y0544_x0544,z24_camden201907,7,36,0,5,5,50.0,544,544,0.5949583053588867,0.26806640625,0.023628751580188796,-0.02892675460245817,0.93740005862436,1.1373699902667183,0.0724159656891771,1.0275378497232615,1.2282543493105647,0.015751446696250837,0.18719832333635664,0.24415183944880958,0.03047982146009852,1.9155654052920463,1.9408359527047223,0.027805549893024306,1.8265431669891858,1.8547077973063437
735,camden/z24_camden201907/t0036/z000_y0544_x0544,z24_camden201907,7,36,0,7,7,70.0,544,544,0.5949583053588867,0.8083648681640625,-0.06777246044949409,-0.17272113256539054,1.706819817490483,2.0035379935075865,-0.017781532188219807,1.6397338489971567,1.847992178964649,0.015866206109142755,0.30819221692465165,0.39672866231730325,-0.007559352364750437,1.8110212024130345,1.832777973933188,-0.00371727334000152,1.7335786529091117,1.758377382533769
735,camden/z24_camden201907/t0036/z000_y0544_x0544,z24_camden201907,7,36,0,10,10,100.0,544,544,0.5949583053588867,0.98486328125,-0.02296886787800765,-0.09072011767715613,2.141964489545158,2.427791102606667,0.009491730150626139,1.6118591057102487,1.8263744877298336,0.019566648713726188,0.4581963911178535,0.5836379596796437,0.01793094128236615,1.7720923786913634,1.7884395943962041,0.019787873616872214,1.7113867245751202,1.7302955512560771
735,camden/z24_camden201907/t0036/z000_y0544_x0544,z24_camden201907,7,36,0,12,12,120.0,544,544,0.5949583053588867,0.999664306640625,-0.06474283933363914,-0.04485770441493498,2.275861637272139,2.5533841711948635,-0.04388614597583421,1.5036862769741044,1.7237449429057963,-0.0172415664157741,0.5272465946925561,0.6668892262985174,-0.13128165350432489,1.7440760099840902,1.7597642465197225,-0.12146193835861506,1.693181728914216,1.7113931882118583
735,camden/z24_camden201907/t0036/z000_y0544_x0544,z24_camden201907,7,36,0,15,15,150.0,544,544,0.5949583053588867,1.0,-0.11064266639841996,-0.1595819997996845,2.144951643962486,2.4155767458919724,-0.00828876843552181,1.4481670715922519,1.6631539598317562,0.008673750411726777,0.592139848439956,0.7462003879183888,-0.2092863401467364,1.847346091764848,1.860440116072179,-0.19805584086352246,1.820383196696639,1.835522828982744
352,camden/z21_camden201904/t0034/z000_y0000_x0000,z21_camden201904,4,34,0,3,3,30.0,0,0,0.6953935623168945,0.0862579345703125,-0.036425977515231515,0.008316423042483643,2.1933942735669634,2.448093774210457,-0.029156633440984375,0.7290425276979817,0.8928592521876667,-0.022121730516515038,0.15314956569544808,0.21918316596365356,-0.11210326939972204,0.2268792720003801,0.2842833776241441,-0.10619601349122863,0.22600792547928092,0.2850038234829154
352,camden/z21_camden201904/t0034/z000_y0000_x0000,z21_camden201904,4,34,0,5,5,50.0,0,0,0.6953935623168945,0.771026611328125,0.08937874987348537,-0.013123112213361314,2.540127438116895,2.79533755303205,-0.02013042901573949,0.972512993092068,1.2272573137835632,0.04426868562894367,0.21495208487629483,0.2931771244287784,0.3952162200888939,0.17373627688704021,0.2163710031657725,0.37473662232881333,0.19299046984290738,0.24497966346147337
352,camden/z21_camden201904/t0034/z000_y0000_x0000,z21_camden201904,4,34,0,7,7,70.0,0,0,0.6953935623168945,0.98486328125,0.06477133185962275,0.027705056273801792,3.3398838292255104,3.545248304408665,0.11507812783349998,1.567871168911472,1.7953792327411637,0.019743200278440818,0.32317784251519094,0.4328111219407847,0.05524022963258036,0.19148161220902196,0.22910970204947143,0.058627968094023646,0.21135666704910724,0.264209114461074
352,camden/z21_camden201904/t0034/z000_y0000_x0000,z21_camden201904,4,34,0,10,10,100.0,0,0,0.6953935623168945,0.9993133544921875,-0.04275761546664203,-0.06670218238377737,3.3750031784035075,3.5869121132513655,-0.09119899075307461,1.997100278724012,2.210424417948155,-0.03580734168947666,0.38502054167970495,0.528988480548611,0.05719264886291997,0.20411044228604985,0.2356782072145055,0.056669939276818765,0.2837184848864908,0.3323473378002348
352,camden/z21_camden201904/t0034/z000_y0000_x0000,z21_camden201904,4,34,0,12,12,120.0,0,0,0.6953935623168945,0.9998321533203125,0.08484584251820274,0.04127254661703554,3.5410075749026504,3.7296785404341795,0.11589400738706736,1.9596477581316714,2.1670436586608908,-0.006053300812978625,0.4011843527718783,0.5530299708140913,0.12056085462966265,0.20039150450530738,0.22989147392277268,0.12713589990923177,0.27911873990276853,0.3192009230486096
352,camden/z21_camden201904/t0034/z000_y0000_x0000,z21_camden201904,4,34,0,15,15,150.0,0,0,0.6953935623168945,1.0,-0.020739967387997948,-0.0019212211147988897,3.4434545144631556,3.673171052667687,-0.06548795117479415,2.0241445475403452,2.229165532308665,-0.0307428287971388,0.40254210815576386,0.5589149800805383,0.017561537412866226,0.1956894900649786,0.2258476404924351,0.019608473178990032,0.2583102574571967,0.2922703059540979
