dataset_index,sample_key,job,month,time_index,z0,local_z,global_z,height_m,y0,x0,valid_fraction_3d,valid_fraction_slice,score,u_R,u_MAE,u_RMSE,v_R,v_MAE,v_RMSE,w_R,w_MAE,w_RMSE,theta_prime_R,theta_prime_MAE,theta_prime_RMSE,theta_R,theta_MAE,theta_RMSE,png
316,camden/z20_camden201903/t0038/z000_y0544_x0000,z20_camden201903,3,38,0,12,12,120.0,544,0,0.37184810638427734,0.8283538818359375,0.6246825907882985,0.6054881596579036,2.630256526431141,3.01769952783978,0.6305743340344546,3.9777120954941596,4.305550570175195,0.5050025880867022,0.14451949121005572,0.21537573395545098,0.667242354366552,0.5463943161633186,0.556966824297617,0.03280131797907119,0.5856239683825231,0.5993732428289646,stage1_more_case_000_m03_t038_h120_y0544_x0000.png
300,camden/z20_camden201903/t0037/z000_y0544_x0000,z20_camden201903,3,37,0,12,12,120.0,544,0,0.37184810638427734,0.8283538818359375,0.6080175332595628,0.5877597158625093,3.071866281080389,3.439539209755104,0.6028636380771396,4.000531663391702,4.353256284701767,0.4887633989839104,0.15513606429571933,0.22934658015653234,0.6674447577259601,0.4807184401658095,0.4918755735642137,0.1495042601625683,0.35679435754574645,0.38018587915903446,stage1_more_case_001_m03_t037_h120_y0544_x0000.png
573,camden/z23_camden201906/t0033/z000_y0544_x0256,z23_camden201906,6,33,0,10,10,100.0,544,256,0.30510807037353516,0.369384765625,0.60346683399036,0.7026198897369711,2.0865800738905884,2.5103440964225734,0.5203565345697994,1.529876207909439,1.8777851373600816,0.2953281159224578,0.5377923841985611,0.7162955660819847,0.6426347187474702,0.3001489389025448,0.37897969778478013,0.6329109889769579,0.3074039993739963,0.38248416814928254,stage1_more_case_002_m06_t033_h100_y0544_x0256.png
594,camden/z23_camden201906/t0035/z000_y0000_x0512,z23_camden201906,6,35,0,5,5,50.0,0,512,0.6771478652954102,0.55816650390625,0.6020131410474285,0.6110166090835092,1.3764360614133182,1.7667977884055042,0.5897933334729257,1.5276179496416828,1.8921713720692777,0.4627140523274165,0.41810665836509625,0.5924477477621319,0.634375834145222,0.5853154964822442,0.7002920854385714,0.6224292802792567,0.6619582087045944,0.7699008901429348,stage1_more_case_003_m06_t035_h050_y0000_x0512.png
626,camden/z23_camden201906/t0037/z000_y0000_x0512,z23_camden201906,6,37,0,5,5,50.0,0,512,0.6771478652954102,0.55816650390625,0.5997409492211913,0.6177048684458071,1.3147263659161255,1.6990253654984864,0.6080994780531598,1.7058204799776457,2.078999284878468,0.4735677433996126,0.39873220328232806,0.5771493065091138,0.5881241631062891,0.7627593323042511,0.8342071782577735,0.5771365843753012,0.6959352354588829,0.7746685140980957,stage1_more_case_004_m06_t037_h050_y0000_x0512.png
305,camden/z20_camden201903/t0038/z000_y0000_x0256,z20_camden201903,3,38,0,5,5,50.0,0,256,0.6587667465209961,0.598602294921875,0.5992519329438231,0.642403312376402,2.1556488970697703,2.5714022345973273,0.6675000690842827,3.058120257493461,3.4242465504489497,0.35855081742846967,0.24779790031957874,0.35251168552480683,0.49143283424463974,0.5502854695277284,0.5691699466876439,0.3325271792763138,0.5265659788327651,0.5508873634983016,stage1_more_case_005_m03_t038_h050_y0000_x0256.png
225,camden/z20_camden201903/t0033/z000_y0000_x0256,z20_camden201903,3,33,0,5,5,50.0,0,256,0.6587667465209961,0.598602294921875,0.5908196396503803,0.561575424938672,2.5708006425806977,3.1966484553887593,0.6293508383518862,2.349837421699352,2.894479515589071,0.35633075459055746,0.43344846558827754,0.6934285156205374,0.6247156390766287,0.22300910867661383,0.2686549686566632,0.588275618961926,0.2678676841516079,0.31494611400567907,stage1_more_case_006_m03_t033_h050_y0000_x0256.png
321,camden/z20_camden201903/t0039/z000_y0000_x0256,z20_camden201903,3,39,0,5,5,50.0,0,256,0.6587667465209961,0.598602294921875,0.5878580825621332,0.6470451284930492,1.9695456381601366,2.3677107623558578,0.6688969567851463,3.079503569474124,3.4332677056895333,0.3761451928680322,0.2322904162350572,0.33026636695746087,0.4338843722854529,0.5549850508673229,0.5728780861045162,0.35561718769193956,0.46844281408818983,0.4936404001236581,stage1_more_case_007_m03_t039_h050_y0000_x0256.png
241,camden/z20_camden201903/t0034/z000_y0000_x0256,z20_camden201903,3,34,0,5,5,50.0,0,256,0.6587667465209961,0.598602294921875,0.5843053440574782,0.5608601672910609,2.542046917809718,3.152202288482084,0.6194082361247913,2.3468840171632612,2.895272021236828,0.32863827609978635,0.3595844598143976,0.5694357873142045,0.6191179562277627,0.2672764894429318,0.30627979916788534,0.559302294898867,0.32588056787495223,0.3671795161062929,stage1_more_case_008_m03_t034_h050_y0000_x0256.png
562,camden/z23_camden201906/t0033/z000_y0000_x0512,z23_camden201906,6,33,0,5,5,50.0,0,512,0.6771478652954102,0.55816650390625,0.5807647613537688,0.5891270366554932,1.676900184506468,2.1242161881022006,0.5616250733620283,1.6227386444855936,2.026192432110196,0.45824124247458775,0.48504648438874814,0.7032934774634553,0.6203578428956275,0.44005941193308445,0.5537974194385865,0.6151443833505986,0.4440019443818557,0.5574273309093354,stage1_more_case_009_m06_t033_h050_y0000_x0512.png
