epoch,train_loss,val_loss,best_val_loss,lr,improved,no_improve,delta_r_mean,delta_r_count,hard_delta_r_mean,hard_delta_r_count,sign_accuracy,sign_count,amplitude_ratio,active_fraction,pattern_score
1,7.159046314423904,6.0792804579250515,6.0792804579250515,3e-05,1,0,0.09207238036525499,862.0,0.09632944131281766,795.0,0.6822202230750768,25281892.0,0.6050552489309465,0.7207401912581617,0.20765171069914584
2,5.80694821360521,5.84402426937595,5.84402426937595,3e-05,1,0,0.11363856172893551,862.0,0.11840431341350828,795.0,0.6914242810625091,25281892.0,0.5159613156816523,0.7207401912581617,0.22360299533000327
3,5.423559490416665,5.724492064677179,5.724492064677179,3e-05,1,0,0.14213451898274315,862.0,0.1478100430571808,795.0,0.7017394900666454,25281892.0,0.5268937455805714,0.7207401912581617,0.25612012246759397
4,4.819349862576928,5.504808037076145,5.504808037076145,3e-05,1,0,0.16295196756443955,862.0,0.16941271509108302,795.0,0.729396241388896,25281892.0,0.5438106527461253,0.7207401912581617,0.284834255492876
5,5.365991430182476,5.526060630567372,5.504808037076145,3e-05,0,1,0.1585925988196082,862.0,0.16515087133870934,795.0,0.7356878591206703,25281892.0,0.46232204861817944,0.7207401912581617,0.2737137653721856
6,5.302655132254586,5.464412221452221,5.464412221452221,3e-05,1,0,0.16542319679014783,862.0,0.17176266291044043,795.0,0.7297048812644243,25281892.0,0.4815371544759401,0.7207401912581617,0.2811650448283102
7,4.66784266702598,5.3973331158049405,5.3973331158049405,3e-05,1,0,0.1730229493831295,862.0,0.18122409416022917,795.0,0.7348777536111617,25281892.0,0.49139938968516833,0.7207401912581617,0.2926747418380738
8,4.929807900101878,5.410340625792742,5.3973331158049405,3e-05,0,1,0.19081637782764269,862.0,0.20157370895334759,795.0,0.7336933881372486,25281892.0,0.5840112757793435,0.7207401912581617,0.32142063715584923
9,5.016473668976687,5.364944268716499,5.364944268716499,3e-05,1,0,0.18206580742554018,862.0,0.19214138216661208,795.0,0.7424499321490654,25281892.0,0.4054119338015669,0.7207401912581617,0.2954887881817015
10,4.930657756107394,5.315753239672631,5.315753239672631,3e-05,1,0,0.1996315195378599,862.0,0.2093748372868172,795.0,0.7411613814345857,25281892.0,0.5813095398817704,0.7207401912581617,0.3304835189176643
11,5.289188142749481,5.189409281825647,5.189409281825647,3e-05,1,0,0.2055277854869717,862.0,0.21477637135851307,795.0,0.7494143238963287,25281892.0,0.5117584980004348,0.7207401912581617,0.3311641136971174
12,5.077468105417211,5.1733315081801265,5.1733315081801265,3e-05,1,0,0.21331452236893284,862.0,0.22298286183262772,795.0,0.7423840747361787,25281892.0,0.5617098432820801,0.7207401912581617,0.34262118400456343
13,4.654772643873002,5.219893430592492,5.1733315081801265,3e-05,0,1,0.2059573883627241,862.0,0.21385619760309374,795.0,0.7495671605590278,25281892.0,0.47111926070498755,0.7207401912581617,0.32613742923611305
14,5.253577956696972,5.104624636704102,5.104624636704102,3e-05,1,0,0.228619043350116,862.0,0.23631226807926436,795.0,0.7531352479474241,25281892.0,0.5726753254086125,0.7207401912581617,0.3590675004096477
15,4.716973862145096,5.223546698922291,5.104624636704102,3e-05,0,1,0.2306799090525736,862.0,0.23665051308911553,795.0,0.7438264905174027,25281892.0,0.5510378030502603,0.7207401912581617,0.3556182179872985
16,4.803019884042442,5.062501838197932,5.062501838197932,3e-05,1,0,0.22748863465409822,862.0,0.23473677047581043,795.0,0.7599643650087581,25281892.0,0.5199432182201377,0.7207401912581617,0.35402786002258924
17,4.827449422824429,5.0537683761212975,5.0537683761212975,3e-05,1,0,0.23289624826762212,862.0,0.24024137219636696,795.0,0.7591779919002898,25281892.0,0.5701332894389425,0.7207401912581617,0.3639827153579668
18,4.6804355916101485,5.039364551426843,5.039364551426843,3e-05,1,0,0.2380081547074141,862.0,0.24397337822794166,795.0,0.7550073784034834,25281892.0,0.5681399946422975,0.7207401912581617,0.36670548284919213
19,4.506925627181772,5.007145521230996,5.007145521230996,3e-05,1,0,0.23077789319380945,862.0,0.23841558693433706,795.0,0.7706778432563512,25281892.0,0.4803278082484712,0.7207401912581617,0.3558868318694862
20,4.7082527411403134,4.986389941070229,4.986389941070229,3e-05,1,0,0.24621526614315548,862.0,0.25348375781714544,795.0,0.7677200345607046,25281892.0,0.5481777733273959,0.7207401912581617,0.37696998269130766
21,5.49741263242322,4.9770501288585365,4.9770501288585365,3e-05,1,0,0.24785290340182053,862.0,0.25476942693802923,795.0,0.7710908265884531,25281892.0,0.5034431573133181,0.7207401912581617,0.3746733688405067
22,4.769448845065199,5.028273802017793,4.9770501288585365,3e-05,0,1,0.24635346606373787,862.0,0.253413543639318,795.0,0.7628427492689234,25281892.0,0.5275866820751376,0.7207401912581617,0.37400998844694283
23,4.914521923928987,4.921412730123848,4.921412730123848,3e-05,1,0,0.25552642555894406,862.0,0.2631401563356133,795.0,0.7722417293768995,25281892.0,0.5060877950728078,0.7207401912581617,0.38353624637617195
24,4.448992285062559,4.89091960969381,4.89091960969381,3e-05,1,0,0.2583955599647664,862.0,0.2658929275360497,795.0,0.7727399120287358,25281892.0,0.524940359205215,0.7207401912581617,0.38821737872392037
25,4.6722413537791,4.879699944052845,4.879699944052845,3e-05,1,0,0.25760613265609383,862.0,0.2652739369691168,795.0,0.7716197426996365,25281892.0,0.5370860325211438,0.7207401912581617,0.38851803612060065
26,5.184057236416265,4.883801884949207,4.879699944052845,3e-05,0,1,0.2674680767827203,862.0,0.2736863614862445,795.0,0.7730205476710367,25281892.0,0.5316499849206611,0.7207401912581617,0.3967019745580356
27,4.623592404677765,4.931243852479383,4.879699944052845,3e-05,0,2,0.261724932531971,862.0,0.26865916947758045,795.0,0.7757757607698031,25281892.0,0.5460545008531026,0.7207401912581617,0.393562497141217
28,4.6294861244095955,4.838443719549105,4.838443719549105,3e-05,1,0,0.2635731790387644,862.0,0.27175878288236055,795.0,0.7777350286916818,25281892.0,0.5294778057981256,0.7207401912581617,0.3955125871099684
29,4.632805886445567,4.802973537705839,4.802973537705839,3e-05,1,0,0.2713292902573217,862.0,0.2797944083903571,795.0,0.780077614444362,25281892.0,0.5032816254069247,0.7207401912581617,0.40147966257432527
30,4.3937946450314485,4.87799281347543,4.802973537705839,3e-05,0,1,0.27362203534925894,862.0,0.28246213247378665,795.0,0.7751089594085759,25281892.0,0.5016323264403022,0.7207401912581617,0.40298953210106675
31,4.683156948100077,4.931437847902998,4.802973537705839,3e-05,0,2,0.2720437370620996,862.0,0.27998635868231453,795.0,0.7676385137631313,25281892.0,0.6681621459133387,0.7207401912581617,0.413352841360077
32,4.423872043873416,4.879726081388071,4.802973537705839,3e-05,0,3,0.2653012870705045,862.0,0.2733312520403532,795.0,0.7763407896845695,25281892.0,0.5312447824500276,0.7207401912581617,0.3969727909741533
33,4.4258777244831435,4.810117905028164,4.802973537705839,3e-05,0,4,0.2734817228087693,862.0,0.28234201632205796,795.0,0.7787991500003243,25281892.0,0.5767836269259177,0.7207401912581617,0.41058744234887
34,4.588948771590367,4.7111806876491755,4.7111806876491755,3e-05,1,0,0.2766792469132873,862.0,0.28568742563420874,795.0,0.7830325356978821,25281892.0,0.5101211266008718,0.7207401912581617,0.4086385788575748
35,4.546337376348674,4.646962711587548,4.646962711587548,3e-05,1,0,0.28455339268653757,862.0,0.2933031895367792,795.0,0.7841249381177643,25281892.0,0.5448371471357456,0.7207401912581617,0.41976476008197033
36,4.265975458256435,4.784019828541204,4.646962711587548,3e-05,0,1,0.2771706104520579,862.0,0.28618773471259473,795.0,0.7735388633097554,25281892.0,0.5885515508961512,0.7207401912581617,0.41439096942387343
37,4.760260901064612,4.782886507222429,4.646962711587548,3e-05,0,2,0.27888908823239,862.0,0.28721359758257115,795.0,0.776268959617421,25281892.0,0.5309905826077383,0.7207401912581617,0.41081683985108197
38,4.665509278362151,4.958328627515584,4.646962711587548,3e-05,0,3,0.2825332663676717,862.0,0.2908808166594625,795.0,0.7622613054434375,25281892.0,0.6278135533122619,0.7207401912581617,0.42005747543692273
39,4.642347453976981,4.721306097693741,4.646962711587548,3e-05,0,4,0.28055038323880904,862.0,0.28818067733971575,795.0,0.7796313661968021,25281892.0,0.5555404476527548,0.7207401912581617,0.4147162576042297
40,4.751423817186151,4.689821518724784,4.646962711587548,3e-05,0,5,0.2830698448870755,862.0,0.2932659203385782,795.0,0.7808601903686638,25281892.0,0.5307030789813421,0.7207401912581617,0.41776032904085947
