epoch,train_loss,val_loss,best_val,lr,delta_monitor_r,delta_monitor_hard_r,delta_monitor_sign_accuracy,delta_monitor_amplitude_ratio,delta_monitor_pattern_score,base_loss,gradient_loss_weight,multiscale_loss_weight,multiscale_scales,smoothness_loss_weight,variance_loss_weight,residual_weight_alpha,residual_weight_scale,residual_weight_max,target_gradient_weight_alpha,target_gradient_weight_scale,target_gradient_weight_max,low_layer_weight_alpha,normalized_loss_weight,normalized_min_std,correlation_loss_weight,pattern_height_decay,low_frequency_loss_weight,low_frequency_pool,low_frequency_correlation_weight,high_frequency_loss_weight,local_correlation_loss_weight,local_correlation_pool,amplitude_loss_weight,active_delta_loss_weight,active_delta_threshold,sign_loss_weight,sign_loss_min_abs,sign_loss_scale,active_loss_weight,active_loss_threshold,active_loss_pos_weight,sign_class_loss_weight,sign_class_loss_min_abs,sign_class_loss_pos_weight,improved,epochs_without_improvement
1,5.8162503281,4.2665446142,4.2665446142,3e-05,0.4377327145,0.4516119851,0.8226441547,0.7197719406,0.5996997727,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,1,0
2,5.7001507044,4.1771428818,4.1771428818,3e-05,0.4355679570,0.4515027963,0.8221379569,0.7166040422,0.5992687961,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,1,0
3,5.5988588381,4.2104420655,4.1771428818,3e-05,0.4386032938,0.4515312045,0.8228527775,0.6855123453,0.5972223215,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,1
4,5.8201686557,4.1981546013,4.1771428818,3e-05,0.4375233997,0.4508502603,0.8248439749,0.6769129849,0.5963084280,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,2
5,5.2389368867,4.2759269869,4.1771428818,3e-05,0.4355216327,0.4481830495,0.8269714437,0.6236633747,0.5899701123,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,3
6,5.7959720147,4.2284085334,4.1771428818,3e-05,0.4368069317,0.4507355293,0.8263521112,0.7290804268,0.6002073901,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,4
7,5.5608509005,4.2416300380,4.1771428818,3e-05,0.4387428476,0.4515987900,0.8263440394,0.7417571599,0.6019309295,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,5
8,5.7445467454,4.2142144598,4.1771428818,3e-05,0.4370123470,0.4510046434,0.8271457863,0.7165992471,0.5997718744,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,6
9,5.8191937028,4.2606326295,4.1771428818,3e-05,0.4346930612,0.4479457119,0.8247606761,0.7401811787,0.5978548328,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,7
10,5.2972454279,4.1836248306,4.1771428818,1.5e-05,0.4421657687,0.4557431605,0.8265423030,0.7151333026,0.6042873053,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,8
11,5.3032740941,4.1923277769,4.1771428818,1.5e-05,0.4378750940,0.4512891961,0.8287783969,0.7283246316,0.6011944551,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,9
12,5.3601636899,4.1392995773,4.1392995773,1.5e-05,0.4395267982,0.4535681345,0.8297018403,0.7031544271,0.6018995655,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,1,0
13,4.9098414336,4.1577655575,4.1392995773,1.5e-05,0.4407629731,0.4541277216,0.8281547833,0.7272700448,0.6038358073,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,1
14,4.8721134912,4.1455139632,4.1392995773,1.5e-05,0.4413083771,0.4557115673,0.8282993226,0.6651149962,0.6009816655,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,2
15,5.2137094050,4.1452131616,4.1392995773,1.5e-05,0.4396911915,0.4531382233,0.8265372377,0.6861236498,0.5996107998,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,3
16,5.7785632967,4.1668522861,4.1392995773,1.5e-05,0.4470933292,0.4600638921,0.8255222277,0.7217032904,0.6088612787,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,4
17,5.4943351268,4.2547287203,4.1392995773,1.5e-05,0.4425086115,0.4545183015,0.8278244312,0.7088192057,0.6028754485,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,5
18,5.6591353389,4.1844473528,4.1392995773,1.5e-05,0.4416209309,0.4550561810,0.8257544774,0.7280950969,0.6043408959,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,6
19,5.6083557341,4.2372027878,4.1392995773,1.5e-05,0.4449909146,0.4582599524,0.8231448625,0.7182304076,0.6063406819,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,7
20,5.4021937756,4.2083514992,4.1392995773,7.5e-06,0.4466023478,0.4594779167,0.8228407189,0.7706527477,0.6110201906,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,8
21,5.6867761886,4.1973154063,4.1392995773,7.5e-06,0.4435061854,0.4574643727,0.8240713451,0.6978163569,0.6042886763,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,9
22,5.2920069557,4.1785866043,4.1392995773,7.5e-06,0.4421904703,0.4559502641,0.8254028513,0.6850625253,0.6021185760,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,10
23,5.2264764356,4.1512944696,4.1392995773,7.5e-06,0.4481403173,0.4611600253,0.8273636572,0.7241758689,0.6104967065,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,11
24,5.7265929707,4.1500179640,4.1392995773,7.5e-06,0.4485857203,0.4624808749,0.8296319072,0.7354314575,0.6130423596,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,12
25,5.4842880312,4.1507451509,4.1392995773,7.5e-06,0.4449272753,0.4587553387,0.8293031564,0.6949001616,0.6064166152,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,13
26,5.4114585977,4.1361196951,4.1361196951,7.5e-06,0.4478175972,0.4619113175,0.8292517850,0.7043984899,0.6102411222,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,1,0
27,5.5624227076,4.1383262300,4.1361196951,7.5e-06,0.4470256885,0.4603201860,0.8272934300,0.7143820972,0.6089620066,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,1
28,5.4587089064,4.1307989350,4.1307989350,7.5e-06,0.4468477498,0.4599587882,0.8284819329,0.7137274936,0.6087924723,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,1,0
29,5.2579466736,4.1344802070,4.1307989350,7.5e-06,0.4463908132,0.4596503799,0.8298001715,0.7057606258,0.6081864564,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,1
30,5.3701707572,4.1584291621,4.1307989350,7.5e-06,0.4443247514,0.4576779120,0.8257536278,0.7193326857,0.6063570714,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,2
31,5.0402521134,4.1494544863,4.1307989350,7.5e-06,0.4444869140,0.4573482027,0.8278867501,0.7288360087,0.6071102265,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,3
32,5.5430917857,4.1412623485,4.1307989350,7.5e-06,0.4459226639,0.4594160549,0.8294259641,0.7171526768,0.6086779216,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,0,4
33,5.5018653125,4.1293732193,4.1293732193,7.5e-06,0.4447329293,0.4577569103,0.8296928536,0.7002916380,0.6058825608,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,1,0
34,5.6407312668,4.1096554475,4.1096554475,7.5e-06,0.4451357950,0.4588230843,0.8299131428,0.6813531715,0.6056219878,huber,0.03,0,"8,16,32,64",0,0,0.5,4,4,0.35,1,2.5,0,0,0.75,0.04,0,0.04,16,0.02,0.04,0.05,32,0.05,0.35,0.75,0.015,0.75,2,0.02,0.75,2,0.02,0.75,1,1,0
